	Feature	Coefficient
1304	msp_1556	8.400941023731858e-05
437	msp_0472	8.073674481488093e-05
1651	msp_2269	7.858760444483475e-05
733	msp_0811	7.823434880973648e-05
581	msp_0636	7.82207563765908e-05
1643	msp_2260	7.500350455369703e-05
460	msp_0500	7.404934992291909e-05
1761	msp_2427	7.187212792951023e-05
1805	msp_2511	7.068046000551679e-05
94	msp_0100	7.058311494544242e-05
864	msp_0967	6.874384146029363e-05
812	msp_0904	6.81679797449689e-05
893	msp_1005	6.598207211122328e-05
987	msp_1118	6.507904008653509e-05
1964	msp_2912	6.14347938718676e-05
962	msp_1090	6.0297434491624464e-05
883	msp_0990	5.771750173580031e-05
1219	msp_1428	5.517909509539304e-05
383	msp_0414	5.0392759574632726e-05
1730	msp_2381	5.006411731822608e-05
1949	msp_2881	4.822213832619795e-05
917	msp_1033	4.8194853112890315e-05
1577	msp_1156	4.8025581527414935e-05
682	msp_0756	4.753868663283712e-05
1772	msp_2442	4.434125532355327e-05
691	msp_0765	4.373445555728451e-05
755	msp_0837	4.32165424939265e-05
1650	msp_2268	4.2196314622191764e-05
290	msp_0314	4.200779856202403e-05
1044	msp_1188	3.95144205122709e-05
1777	msp_2453	3.6801582317320315e-05
1923	msp_2829	3.5621476664840245e-05
283	msp_0305	2.4328847033230903e-05
787	msp_0874	2.2900487384754697e-05
651	msp_0719	2.170331782895298e-05
1162	msp_1351	2.0069610293917843e-05
1938	msp_2854	1.890670147950219e-05
889	msp_1001	1.8649512941631712e-05
1710	msp_2357	1.5767427960428868e-05
1806	msp_2512	1.568534277820685e-05
1903	msp_2726	1.5356155542115517e-05
1898	msp_2715	1.376452373153266e-05
1327	msp_1596	1.2509347750399594e-05
416	msp_0451	7.40714902820073e-06
1759	msp_2424	2.992637518999202e-06
35	msp_0038	7.370466185008409e-07
1206	msp_1407	3.662930373002362e-10
1511	msp_1936	3.662930373002362e-10
784	msp_0871	3.662930373002362e-10
1535	msp_1991	3.662930373002362e-10
349	msp_0377	3.662930373002362e-10
1501	msp_1923	3.662930373002362e-10
1050	msp_1197	0.0
1762	msp_2428	0.0
1055	msp_1203	0.0
1769	msp_2439	0.0
1059	msp_1209	0.0
1807	msp_2513	0.0
1770	msp_2440	0.0
1771	msp_2441	0.0
1787	msp_2480	0.0
1799	msp_2500	0.0
1022	msp_1161	0.0
1024	msp_1163	0.0
1025	msp_1164	0.0
1780	msp_2459	0.0
1026	msp_1165	0.0
1794	msp_2493	0.0
1028	msp_1167	0.0
1043	msp_1187	0.0
1060	msp_1210	0.0
1782	msp_2465	0.0
1041	msp_1184	0.0
1784	msp_2471	0.0
1034	msp_1175	0.0
1023	msp_1162	0.0
1421	msp_1745	0.0
1061	msp_1211	0.0
1065	msp_1217	0.0
1106	msp_1271	0.0
1721	msp_2371	0.0
1713	msp_2361	0.0
1109	msp_1276	0.0
1111	msp_1280	0.0
1708	msp_2355	0.0
1113	msp_1283	0.0
1703	msp_2346	0.0
1115	msp_1285	0.0
1699	msp_2342	0.0
1116	msp_1286	0.0
1118	msp_1288	0.0
1119	msp_1290	0.0
1696	msp_2336	0.0
1692	msp_2332	0.0
1128	msp_1304	0.0
1130	msp_1307	0.0
1726	msp_2377	0.0
1733	msp_2387	0.0
1100	msp_1262	0.0
1753	msp_2416	0.0
1758	msp_2422	0.0
1757	msp_2421	0.0
1755	msp_2419	0.0
1074	msp_1230	0.0
1809	msp_2515	0.0
1075	msp_1231	0.0
1076	msp_1232	0.0
1077	msp_1235	0.0
1735	msp_2390	0.0
1752	msp_2410	0.0
1081	msp_1239	0.0
1750	msp_2408	0.0
1083	msp_1241	0.0
1747	msp_2402	0.0
1088	msp_1247	0.0
1739	msp_2394	0.0
1018	msp_1157	0.0
1002	msp_1137	0.0
1015	msp_1151	0.0
1914	msp_2796	0.0
910	msp_1024	0.0
911	msp_1026	0.0
914	msp_1030	0.0
1937	msp_2851	0.0
918	msp_1037	0.0
