	Feature	Coefficient
703	msp_0777	0.0005961776620856409
1319	msp_1579c	0.0005911173694670849
421	msp_0456	0.0005909702469307957
1945	msp_2869	0.000585274304666483
1203	msp_1403	0.0005841267029975785
78	msp_0083	0.0005777587526787602
512	msp_0560	0.0005648336373203038
705	msp_0779	0.0005586039796527276
77	msp_0081	0.0005519658904290586
1580	msp_1327	0.0005482843669655138
1209	msp_1410	0.0005481459348777725
1621	msp_2234	0.0005474667114874028
1673	msp_2297	0.0005362132126186745
1322	msp_1587	0.0005353541028758957
1774	msp_2450	0.0005338056770128719
1824	msp_2550	0.0005275764669990764
1019	msp_1158	0.0005265845208553866
1850	msp_2594	0.0005239444752784004
551	msp_0604	0.0005173538619218968
263	msp_0281	0.0005167578061665694
480	msp_0524	0.0005167214262736116
1400	msp_1705	0.0005151101767362743
1337	msp_1609c	0.0005145596522861146
146	msp_0157	0.0005130386264228556
1721	msp_2371	0.0005116045427115124
289	msp_0312	0.0005114982001948996
1858	msp_2613	0.0005061408533572037
1667	msp_2291	0.0005052142192888015
1834	msp_2563	0.0005022703860471588
1443	msp_1814	0.0005006258778673263
1438	msp_1780c	0.0004990398945192925
800	msp_0891	0.000498173891585239
1715	msp_2363	0.0004962312663273073
742	msp_0821	0.0004948341738452787
1035	msp_1176	0.0004876832092766077
1446	msp_1820	0.0004833776109815096
1234	msp_1451	0.00047843500257504595
1442	msp_1799	0.0004740046249378999
1406	msp_1715	0.0004704436031174339
1220	msp_1432	0.0004702146013563431
1329	msp_1599	0.0004685749852477811
451	msp_0490	0.00046813072078825035
1020	msp_1159	0.0004673556040986282
509	msp_0556	0.00046372797525712114
1489	msp_1901	0.0004634171135311182
1727	msp_2378	0.0004616924049321088
852	msp_0953	0.0004610753157963922
483	msp_0527	0.00046034127598387347
1087	msp_1246	0.0004521651520239188
288	msp_0311	0.0004452549391412842
1592	msp_1789	0.0004451416206280541
1410	msp_1723	0.00044387694225670436
701	msp_0775	0.00044250140542400577
463	msp_0503	0.00043691431709756516
546	msp_0598	0.0004351078423636743
434	msp_0469c	0.00043479820169898577
619	msp_0677c	0.0004342536639118574
1468	msp_1864	0.000433413276321315
1796	msp_2495	0.00042882933893256944
1741	msp_2396	0.00042811974214654715
50	msp_0054	0.0004077660870907763
1745	msp_2400	0.0004059750844815974
1675	msp_2301	0.0003966425862266947
1466	msp_1861	0.0003945566895449746
1705	msp_2348	0.00039047640577449973
71	msp_0075	0.0003898165576698548
203	msp_0218	0.00038878538143641826
291	msp_0315	0.00038522981251755476
1716	msp_2364	0.0003784012439207859
1067	msp_1219	0.0003783324960868128
1561	msp_0197	0.0003775555171921165
259	msp_0277	0.00037602585852411973
292	msp_0316	0.00037257432532007397
801	msp_0892	0.00036989639308783435
620	msp_0678	0.0003697863353266206
1017	msp_1155	0.0003686061630838541
1968	msp_2919	0.00036540387375990556
723	msp_0800	0.00036238258052693166
678	msp_0750	0.000354081001019472
887	msp_0996	0.0003511798347244839
626	msp_0686	0.0003483847785984846
1259	msp_1483	0.00034539279596584535
590	msp_0645	0.0003433286283320961
28	msp_0031	0.0003405071934941761
667	msp_0737	0.0003363574772251183
728	msp_0806	0.00033586285703981675
1700	msp_2343	0.00033497507548960003
1583	msp_1477	0.00033306145516863537
1719	msp_2368	0.0003322276066337085
1522	msp_1949	0.0003229909952477133
1541	msp_2028	0.0003229909952477133
1622	msp_2235	0.00031585294569332225
785	msp_0872	0.00031558478156131354
541	msp_0592	0.00031346780454442305
1606	msp_2217	0.00031285403647125635
317	msp_0343	0.0003103653550668434
107	msp_0114	0.00031028381857466786
1879	msp_2658	0.00030530246602417734
1598	msp_1805	0.0003035088137414707
1781	msp_2462	0.000299348052905302
1429	msp_1766	0.0002937385567868237
683	msp_0757	0.00029362134979959704
1793	msp_2492	0.0002934980444601029
1783	msp_2469	0.00028775731486338095
129	msp_0138	0.0002874729185055272
1343	msp_1621	0.0002867762306734593
906	msp_1019	0.0002860214753570991
351	msp_0379	0.000278494255253428
858	msp_0960	0.0002691498412435936
1559	msp_0030	0.00026637903166290897
1229	msp_1443	0.00026481238071928104
923	msp_1043	0.0002625570557394356
1943	msp_2867	0.0002607919027730215
1922	msp_2828	0.0002607919027730215
85	msp_0090	0.00025869336780286526
335	msp_0362	0.0002575860502027571
873	msp_0979	0.0002556298143015118
325	msp_0352	0.00025492816729635794
1282	msp_1525	0.00025328253379117887
15	msp_0016	0.0002519187322496808
315	msp_0341	0.0002507308531531192
454	msp_0493	0.0002506780864491719
504	msp_0551	0.000247481497473543
857	msp_0959	0.00024510907440438535
707	msp_0781	0.00024402599971517664
109	msp_0117	0.00023893492922355772
354	msp_0383	0.00023771971210282298
151	msp_0162	0.00023433278262412698
496	msp_0541	0.0002333588157790346
601	msp_0657	0.00023099535829221117
1562	msp_0212	0.00022906121913032523
1079	msp_1237	0.0002276392043562743
1048	msp_1195	0.00021868937305208412
444	msp_0479	0.00021824102244784996
38	msp_0041	0.00021658872467801013
544	msp_0596	0.00021597914520982682
